State_Code,State
AL,Alabama
AR,Arkansas
AZ,Arizona
CA,California
CO,Colorado
CT,Connecticut
DC,"Washington, D.C."
DE,Delaware
FL,Florida
GA,Georgia
GU,Guam
ID,Idaho
IL,Illinois
IN,Indiana
MA,Massachusetts
MD,Maryland
ME,Maine
MI,Michigan
MN,Minnesota
MO,Missouri
MS,Mississippi
NC,North Carolina
NE,Nebraska
NH,New Hampshire
NJ,New Jersey
NV,Nevada
NY,New York
OH,Ohio
OR,Oregon
PA,Pennsylvania
PR,Puerto Rico
SC,South Carolina
TN,Tennessee
TX,Texas
VA,Virginia
VT,Vermont
WA,Washington
WI,Wisconsin
